case:concept:name,concept:name,time:timestamp,org:resource,costs,request_type,claim_category,customer_segment,claim_value,risk_level,processing_priority,claim_status,event_attribute_1,event_attribute_2,event_attribute_3,event_attribute_4
1,register request,2024-01-01 09:00:00,Mike,50,COMPLEX,MEDICAL,PREMIUM,5000,MEDIUM,HIGH,REGISTERED,VERIFIED,4500,0.85,NA
1,examine thoroughly,2024-01-01 10:00:00,Sara,400,COMPLEX,MEDICAL,PREMIUM,5000,MEDIUM,HIGH,IN_EXAMINATION,0.75,PASS,0.82,Y
1,check ticket,2024-01-01 11:00:00,Pete,100,COMPLEX,MEDICAL,PREMIUM,5000,MEDIUM,HIGH,IN_EXAMINATION,2,NONE,PASS,0
1,decide,2024-01-01 12:00:00,Sara,200,COMPLEX,MEDICAL,PREMIUM,5000,MEDIUM,HIGH,READY_FOR_DECISION,0.95,80,MEDIUM,L2
1,reject request,2024-01-01 14:00:00,Pete,200,COMPLEX,MEDICAL,PREMIUM,5000,MEDIUM,HIGH,REJECTED,0,INS_NOT_COVERED,Y,SENT
2,register request,2024-01-01 09:30:00,Mike,50,SIMPLE,PROPERTY,STANDARD,1000,LOW,NORMAL,REGISTERED,VERIFIED,900,0.95,NA
2,examine casually,2024-01-01 10:30:00,Pete,400,SIMPLE,PROPERTY,STANDARD,1000,LOW,NORMAL,IN_EXAMINATION,0.92,PASS,0.88,N
2,check ticket,2024-01-01 11:30:00,Mike,100,SIMPLE,PROPERTY,STANDARD,1000,LOW,NORMAL,IN_EXAMINATION,1,NONE,PASS,0
2,decide,2024-01-01 12:30:00,Sara,200,SIMPLE,PROPERTY,STANDARD,1000,LOW,NORMAL,READY_FOR_DECISION,0.98,100,LOW,L1
2,pay compensation,2024-01-01 13:30:00,Pete,200,SIMPLE,PROPERTY,STANDARD,1000,LOW,NORMAL,APPROVED,950,NA,NA,SENT
3,register request,2024-01-01 10:00:00,Pete,50,URGENT,LIABILITY,NEW,7500,HIGH,URGENT,REGISTERED,PENDING,7000,0.70,NA
3,examine thoroughly,2024-01-01 11:00:00,Mike,400,URGENT,LIABILITY,NEW,7500,HIGH,URGENT,IN_EXAMINATION,0.65,SUSPICIOUS,0.75,Y
3,check ticket,2024-01-01 12:00:00,Sara,100,URGENT,LIABILITY,NEW,7500,HIGH,URGENT,IN_EXAMINATION,3,PHOTOS,REVIEW,1
3,request additional info,2024-01-01 13:00:00,Pete,0,URGENT,LIABILITY,NEW,7500,HIGH,URGENT,PENDING_INFO,NA,PHOTOS,NA,NA
3,check ticket,2024-01-01 14:00:00,Sara,100,URGENT,LIABILITY,NEW,7500,HIGH,URGENT,IN_EXAMINATION,3,NONE,PASS,2
3,decide,2024-01-01 15:00:00,Pete,200,URGENT,LIABILITY,NEW,7500,HIGH,URGENT,READY_FOR_DECISION,0.88,90,HIGH,L3
3,pay compensation,2024-01-01 16:00:00,Mike,200,URGENT,LIABILITY,NEW,7500,HIGH,URGENT,APPROVED,7000,NA,NA,SENT
4,register request,2024-01-01 10:30:00,Sara,50,COMPLEX,MEDICAL,STANDARD,3500,MEDIUM,HIGH,REGISTERED,VERIFIED,3200,0.90,NA
4,examine thoroughly,2024-01-01 11:30:00,Pete,400,COMPLEX,MEDICAL,STANDARD,3500,MEDIUM,HIGH,IN_EXAMINATION,0.78,PASS,0.85,Y
4,check ticket,2024-01-01 12:30:00,Mike,100,COMPLEX,MEDICAL,STANDARD,3500,MEDIUM,HIGH,IN_EXAMINATION,2,REPORTS,REVIEW,1
4,request additional info,2024-01-01 13:30:00,Sara,0,COMPLEX,MEDICAL,STANDARD,3500,MEDIUM,HIGH,PENDING_INFO,NA,REPORTS,NA,NA
4,check ticket,2024-01-01 14:30:00,Pete,100,COMPLEX,MEDICAL,STANDARD,3500,MEDIUM,HIGH,IN_EXAMINATION,2,NONE,PASS,2
4,decide,2024-01-01 15:30:00,Sara,200,COMPLEX,MEDICAL,STANDARD,3500,MEDIUM,HIGH,READY_FOR_DECISION,0.92,85,MEDIUM,L2
4,reject request,2024-01-01 16:30:00,Mike,200,COMPLEX,MEDICAL,STANDARD,3500,MEDIUM,HIGH,REJECTED,0,INCOMPLETE_DOC,Y,SENT
5,register request,2024-01-02 09:00:00,Mike,50,SIMPLE,PROPERTY,PREMIUM,2000,LOW,NORMAL,REGISTERED,VERIFIED,1800,0.95,NA
5,examine casually,2024-01-02 10:00:00,Sara,400,SIMPLE,PROPERTY,PREMIUM,2000,LOW,NORMAL,IN_EXAMINATION,0.95,PASS,0.92,N
5,check ticket,2024-01-02 11:00:00,Pete,100,SIMPLE,PROPERTY,PREMIUM,2000,LOW,NORMAL,IN_EXAMINATION,1,NONE,PASS,0
5,decide,2024-01-02 12:00:00,Mike,200,SIMPLE,PROPERTY,PREMIUM,2000,LOW,NORMAL,READY_FOR_DECISION,0.98,100,LOW,L1
5,pay compensation,2024-01-02 13:00:00,Sara,200,SIMPLE,PROPERTY,PREMIUM,2000,LOW,NORMAL,APPROVED,1900,NA,NA,SENT
